codigo_estacion,nombre_estacion,municipio,departamento,latitud,longitud
0026195502,CIUDAD BOLIVAR  - AUT,Ciudad Bolívar,ANTIOQUIA,5.868666667,-75.99044167
0026225060,HACIENDA COTOVE - AUT,Santa Fe De Antioquia,ANTIOQUIA,6.533916667,-75.82733333
0011115501,CAÑASGORDAS  - AUT,Cañasgordas,ANTIOQUIA,6.748275,-76.03155556
0023050420,ARGELIA ANTIOQUIA - AUT,Argelia,ANTIOQUIA,5.731138889,-75.13852778
0027015320,ARAGON - AUT,Santa Rosa De Osos,ANTIOQUIA,6.781083333,-75.560888889
0026205501,EL ROSARIO  - AUT,Venecia,ANTIOQUIA,5.625830556,-75.70527778
0026185050,SANTA BARBARA - AUT,Santa Bárbara,ANTIOQUIA,5.859583333,-75.55627778
0012015100,PISTA INDIRA - AUT,Turbo,ANTIOQUIA,7.94075,-76.69616667
0027015330,APTO OLAYA HERRERA - TX GPRS,Medellín,ANTIOQUIA,6.221,-75.589
0023105070,MACEO - AUT,Yolombó,ANTIOQUIA,6.571638889,-74.79472222
0023087210,CANTERAS - AUT,Puerto Nare,ANTIOQUIA,6.276083333,-74.67330556
0023085501,COCORNA  - AUT,Cocorná,ANTIOQUIA,6.061941667,-75.18666667
0023085080,GRANJA EXPERIOMENTAL EL NUS  - AUT,San Roque,ANTIOQUIA,6.483583333,-74.83669444
0023057140,SAN MIGUEL,Sonsón,ANTIOQUIA,5.731,-74.726
0023085260,LA SELVA - AUT,Rionegro,ANTIOQUIA,6.131916667,-75.41455556
0023085270,APTO J.M CORDOVA TX GPRS,Rionegro,ANTIOQUIA,6.169,-75.426
0027015290,PAJARITO - AUT,Medellín,ANTIOQUIA,6.286333333,-75.61279167
0026185030,JERICO - AUT,Jericó,ANTIOQUIA,5.799166667,-75.78952778
0012015110,CHIGORODO - AUT,Chigorodó,ANTIOQUIA,7.671138889,-76.69405556
0027015501,YOLOMBO  - AUT,Yolombó,ANTIOQUIA,6.580958333,-75.11487778
0012027010,PUEBLO BELLO  - AUT,Turbo,ANTIOQUIA,8.204055556,-76.52466667
0026247050,LAS CAMELIAS - AUT,Tarazá,ANTIOQUIA,7.582527778,-75.42005556
0026215501,CONCORDIA  - AUT,Concordia,ANTIOQUIA,6.042441667,-75.92149722
0023105060,VEGACHA,Vegachí,ANTIOQUIA,6.774,-74.797
0026207080,BOLOMBOLO - AUT,Venecia,ANTIOQUIA,5.965944444,-75.84147222
0026237040,PTO VALDIVIA,Valdivia,ANTIOQUIA,7.287,-75.396
0026175502,LA CRISTALINA  - AUT,Támesis,ANTIOQUIA,5.7,-75.65999722
0027015280,PARAMO BELMIRA - AUT,Entrerrios,ANTIOQUIA,6.632027778,-75.64444444
0027027060,BRISAS DEL NECHI  - AUT,Angostura,ANTIOQUIA,6.939694444,-75.38083333
0026180180,SONSON,Sonsón,ANTIOQUIA,5.71525,-75.2945
0027037030,SAN JUAN NECHI,Zaragoza,ANTIOQUIA,7.475,-74.921
0026247020,LA COQUERA,Caucasia,ANTIOQUIA,7.962,-75.196
0023097030,PTO BERRIO TX GPRS,Puerto Berrío,ANTIOQUIA,6.485,-74.401
0026165502,JARDIN  - AUT,Jardín,ANTIOQUIA,5.6,-75.84972222
0011057020,SAN ANTONIO PADUA  - AUT,Vigia Del Fuerte,ANTIOQUIA,6.286666667,-76.76180556
2308500071,RETIRO - AUT,Retiro,ANTIOQUIA,6.060275,-75.509513889
0023087230,PUERTO BELLO  - AUT,Puerto Nare,ANTIOQUIA,6.211972222,-74.60711111
0026247010,PALMIRA HACIENDA  - AUT,Cáceres,ANTIOQUIA,7.796777778,-75.37252778
2619700161,SALGAR - AUT,Pueblorrico,ANTIOQUIA,5.880972222,-75.90825
0026255030,SANTA ISABEL VALDIVIA - AUT,Valdivia,ANTIOQUIA,7.157277778,-75.44222222
0012015060,TULENAPA  - AUT,Carepa,ANTIOQUIA,7.773944444,-76.66575
0023087160,CARAMANTA  - AUT,San Roque,ANTIOQUIA,6.507333333,-74.86516667
0026185501,SONSON  - AUT,Sonsón,ANTIOQUIA,5.677719444,-75.34780556
0011117040,MUTATA  - AUT,Mutatá,ANTIOQUIA,7.229444444,-76.43805556
0023087150,PUENTE REAL  - AUT,Rionegro,ANTIOQUIA,6.143472222,-75.37994444
1111500036,ABRIAQUI - AUT,Abriaquí,ANTIOQUIA,6.6363,-76.070733333
0026217010,LA GALERA - AUT,Santa Fe De Antioquia,ANTIOQUIA,6.554972222,-75.86419444
0026195501,ANDES  - AUT,Andes,ANTIOQUIA,5.660108333,-75.91413889
0011077020,LA MAGDALENA - AUT,Urrao,ANTIOQUIA,6.298361111,-76.13447222
0027015310,METROMEDELLIN - AUT,Bello,ANTIOQUIA,6.32975,-75.55211111
0011117050,DABEIBA 2  - AUT,Dabeiba,ANTIOQUIA,7.004388889,-76.26638889
2621500070,ITUANGO - AUT,Ituango,ANTIOQUIA,7.175363889,-75.766358333
0011115020,CAÑASGORDAS  - AUT,Cañasgordas,ANTIOQUIA,6.758027778,-76.02966667
2308500068,SANTUARIO - AUT,Santuario,ANTIOQUIA,6.133027778,-75.275266667
0023107020,LA BODEGA - AUT,Yondó (Casabe),ANTIOQUIA,6.732194444,-74.40694444
0025027050,MARGENTO  - AUT,Caucasia,ANTIOQUIA,8.025444444,-75.08975
0027037010,LA ESPERANZA NECHI,Nechí,ANTIOQUIA,8.03,-74.786
2702500107,ANGOSTURA - AUT,Angostura,ANTIOQUIA,6.900555556,-75.326019444
0023087660,PUENTE LA FERIA  - AUT,Marinilla,ANTIOQUIA,6.172666667,-75.33786111
0012017020,BARRANQUILLITA  - AUT,Chigorodó,ANTIOQUIA,7.571583333,-76.71055556
0023087190,LA GARRUCHA - AUT,San Luis,ANTIOQUIA,5.998361111,-74.93825
